domain_name,label,Dimension 1,Dimension 2
dfsjellefrictionlessv.com,0,-14.001405,-15.283462
tbvfleasuredehydratorysagp.com,0,9.713757,18.19373
jhkgenhancedysb.com,0,-12.657553,24.936611
vfpjhpbpnyawbjx.su,0,-31.854536,-48.945786
u-torrentino.ru,0,-4.6069727,8.270852
ltelancorml.com,0,-6.05932,7.029145
xxfnalitydevonianizuwb.com,0,-19.074955,1.0554417
acgb-my.sharepoint.com,0,-13.715393,17.082512
rteeqoh.biz,0,-22.7149,7.667623
lojalstil.mk,0,-5.711562,8.65259
bngpardenslavetusul.com,0,-19.9379,34.12183
rxxysagabardinedazyx.com,0,11.945753,9.819367
ntvjpartbulkyf.com,0,-22.706242,0.25235564
ufpguvumfns.biz,0,-19.814898,-8.598107
kfncmlcvh.tv,0,-18.817745,11.683877
dhwaalitydevonianizuwb.com,0,-5.1506248,9.081651
rjlwumknqxouwws.biz,0,-32.841743,-48.585392
ntkqkcjlpjphwo.in,0,17.83107,8.716916
txfzestnessbiophysicalohax.com,0,-5.0808063,8.164405
tszh.southtel.ru,0,-19.274954,2.244357
av9vvosg3rvq1pfbb1912wmw22.net,0,12.377528,17.118834
pxnzllaabettingk.com,0,-22.111006,23.253881
xnytbvpbgafraje.tv,0,-7.258,13.980266
jieniqfbmyd.ki,0,8.0951395,22.434568
bfqeenhancedysb.com,0,8.186275,22.342546
jncfexxedggaryurvytzwcdup.org,0,-16.322807,-0.46731916
hsxxnfxjjqmzmmp.net,0,-13.756753,17.051098
xcejrqsweswlklg.com,0,20.694618,13.698156
newautolatino.com,0,-35.153587,-47.05168
lwzoiwqnvvvkompt.biz,0,-21.62625,23.30741
rbxfmdmuiuuuiho.xyz,0,10.138351,13.662302
wncmfhhcyjnfeu.jp,0,-22.909622,3.7314603
mlvwoaduy.biz,0,-8.055356,9.066659
uwypgxifx.org,0,-19.20129,16.814846
jtvdvy.com,0,-9.360361,-3.6549482
bbpcrasildeafeninguvuc.com,0,-19.004213,23.874044
zpboiologistbikerepil.com,0,-19.04796,-5.676815
egvydade.eu,0,-4.82701,-13.092457
myehterwaillet.com,0,-3.8520126,8.25021
gmycfyeoya.biz,0,-17.892637,-1.2448585
murngbgutswps.co.uk,0,-9.272888,2.3601055
lfydiologistbikerepil.com,0,-9.271912,2.3595355
cvqzvgkzczmbtibgbj.info,0,-14.372348,8.618526
jkynbjgeu.ir,0,-17.852869,-1.2584103
oundererwyatanb.com,0,-17.346691,5.3289614
edpatrsdkeuudt.sc,0,-4.386423,9.055804
qdgckfnsdcpheh.net,0,6.9304123,23.27338
bgujaevgfam.org,0,-4.696683,8.543659
hyqagnwupovl.info,0,-7.645423,-5.215701
ttpfxqbolmbuglmkvgm.com,0,-16.101713,2.0233142
kxjercymaiau.pro,0,-4.8023925,7.8141046
rkztdj.com,0,-9.397594,-2.830911
rnyylhmiajhgforxbg.org,0,-11.285397,-1.777634
cuohtasygym.info,0,-28.404772,-39.48635
wxcdmrgsg.xyz,0,-35.153587,-47.05168
esdpfordlinnetavox.com,0,4.969765,13.464885
1ab5qm519svyoq1rb7s7o1u43ym9.org,0,-4.8924756,6.6893563
tnclenhancedysb.com,0,-5.246326,8.490263
eukgleasuredehydratorysagp.com,0,-20.938063,24.154444
kmgivinskycattederifg.com,0,-26.91588,4.4907165
bot.dongevil.info,0,-13.852777,0.69078124
manumachuslazaroqok.com,0,-13.585903,22.6998
kvtwsjbrspjdjfideaqhqssgs.com,0,-14.5251665,25.87054
elektrickekefky.sk,0,-15.061918,-17.234562
hrsyavurhx.nf,0,-14.6044855,-14.996646
upwxmegatioxex.org,0,-3.8605154,7.0091968
fatvveerbnxvtad3doqpxg7k.com,0,-4.8756785,9.074457
dbqlererwyatanb.com,0,-15.902176,0.09241043
iqvswxeerolp.com,0,-13.9105425,26.504435
christembassymidrand.org,0,-18.430906,17.116175
eiofhvxhb.tv,0,-18.273321,-9.497595
1pydoub1s0fwr0nr95c91r8noag.net,0,-15.747511,4.333905
1cpaope11yk076vx9kc41uf1so8.biz,0,-11.018598,-3.631778
dnulsikathrinezad.com,0,-4.6042275,6.6874
lvdoanerraticallyqozaw.com,0,-19.435162,-7.1363134
snrwpzvnvhkomn.biz,0,-19.07712,24.260422
uxksdqhocjjoaigpcvxm.de,0,-1.2736489,13.122764
dvclmdavorgsmrnzmey.biz,0,-11.833454,3.8547933
dmafdy.com,0,-20.931717,24.155823
xnlnalitydevonianizuwb.com,0,-35.153587,-47.05168
rsqaxyakdiwqflxsvuy.com,0,-6.5890517,7.8263206
hgyudpoqdo.ru,0,-5.1916375,9.48949
tnnrmvrlptyorsm.org,0,-4.351786,9.850817
mtotpcpydvkrshjl.mn,0,-35.153587,-47.05168
jugulinfkmkllvdn.biz,0,-13.158583,-4.74974
ixuafy.com,0,-8.307541,-4.4033875
mohmepictom.com,0,-35.153587,-47.05168
esigerp.net,0,-17.008982,26.917677
hezfhi.com,0,-4.7893558,7.362873
ftac6v10k2p9s1v2hoyj1dm3opt.com,0,-30.505589,1.8010839
uutgftm.us,0,-14.372348,8.618526
rmpm0kap03dap15i.net,0,27.681711,9.2061
lvlqepictom.com,0,15.901593,12.526426
ticket.circle-e-products.net,0,-31.439342,-50.171333
interbus.cz,0,-14.969497,-1.0044547
nebocz.com,0,-22.720076,7.6373878
23ace.site,0,-10.166392,0.71162593
zngpestnessbiophysicalohax.com,0,-1.0919411,15.359553
ejyvhk.com,0,-22.720076,7.6373878
acbdfp1i9s9is1vfn7p01j30f5i.com,0,-21.790651,-9.575761
ghcadsccgyftvyka.com,0,8.184541,22.390127
j85e168a8c0123dbc1c9693dc62fad2e97.ws,0,-7.982,-1.848682
fhbxanerraticallyqozaw.com,0,-35.153587,-47.05168
ihvreuxelbsncdp.bid,0,-13.393537,25.944841
aauqenhancedysb.com,0,-12.46353,25.361465
9kaz49xgz8u21phvus66ly98o.com,0,-12.445742,25.812294
jtvmvinskycattederifg.com,0,-28.75278,19.84802
lysojud.info,0,-12.984696,26.463095
omjdrnialfmser.com,0,-14.231012,26.324207
aiavplefrostbitecycz.com,0,-14.619298,25.27124
ilkxixlonowco.com,0,-14.424201,24.85405
feouajimkktotno.info,0,-14.513527,25.837795
djyfujonbpjnb.biz,0,-13.170625,25.326551
